#     Vn (<jump)        Vi (<jump)        Vn (>jump)        Vi (>jump)  
    4.054434E+06      9.230515E+05      1.379669E+06      9.230515E+05
    4.052533E+06      9.227445E+05      1.380140E+06      9.227445E+05
    4.050623E+06      9.224365E+05      1.380614E+06      9.224365E+05
    4.048705E+06      9.221277E+05      1.381090E+06      9.221277E+05
    4.046778E+06      9.218179E+05      1.381570E+06      9.218179E+05
    4.044843E+06      9.215073E+05      1.382052E+06      9.215073E+05
    4.042899E+06      9.211957E+05      1.382538E+06      9.211957E+05
    4.041592E+06      9.209866E+05      1.382865E+06      9.209866E+05
    4.040281E+06      9.207771E+05      1.383193E+06      9.207771E+05
    4.038967E+06      9.205672E+05      1.383523E+06      9.205672E+05
    4.037648E+06      9.203569E+05      1.383854E+06      9.203569E+05
    4.036326E+06      9.201461E+05      1.384186E+06      9.201461E+05
    4.034999E+06      9.199350E+05      1.384520E+06      9.199350E+05
    4.033668E+06      9.197234E+05      1.384855E+06      9.197234E+05
    4.032334E+06      9.195114E+05      1.385192E+06      9.195114E+05
    4.030995E+06      9.192990E+05      1.385530E+06      9.192990E+05
    4.029652E+06      9.190862E+05      1.385869E+06      9.190862E+05
    4.028305E+06      9.188730E+05      1.386210E+06      9.188730E+05
    4.026954E+06      9.186594E+05      1.386553E+06      9.186594E+05
    4.025599E+06      9.184453E+05      1.386896E+06      9.184453E+05
    4.024240E+06      9.182308E+05      1.387242E+06      9.182308E+05
    4.022876E+06      9.180159E+05      1.387588E+06      9.180159E+05
    4.021508E+06      9.178006E+05      1.387937E+06      9.178006E+05
    4.020136E+06      9.175849E+05      1.388286E+06      9.175849E+05
    4.018760E+06      9.173687E+05      1.388638E+06      9.173687E+05
    4.017380E+06      9.171521E+05      1.388990E+06      9.171521E+05
    4.015995E+06      9.169351E+05      1.389345E+06      9.169351E+05
    4.014606E+06      9.167177E+05      1.389700E+06      9.167177E+05
    4.013213E+06      9.164998E+05      1.390058E+06      9.164998E+05
    4.011815E+06      9.162815E+05      1.390416E+06      9.162815E+05
